Month	Price	Change
Jun 2012	1,598.76	0.61 %
Jul 2012	1,594.29	-0.28 %
Aug 2012	1,630.31	2.26 %
Sep 2012	1,744.81	7.02 %
Oct 2012	1,746.58	0.10 %
Nov 2012	1,721.64	-1.43 %
Dec 2012	1,684.76	-2.14 %
Jan 2013	1,671.85	-0.77 %
Feb 2013	1,627.57	-2.65 %
Mar 2013	1,593.09	-2.12 %
Apr 2013	1,487.86	-6.61 %
May 2013	1,414.03	-4.96 %
Jun 2013	1,343.35	-5.00 %
Jul 2013	1,285.52	-4.30 %
Aug 2013	1,351.74	5.15 %
Sep 2013	1,348.60	-0.23 %
Oct 2013	1,316.58	-2.37 %
Nov 2013	1,275.86	-3.09 %
Dec 2013	1,221.51	-4.26 %
Jan 2014	1,244.27	1.86 %
Feb 2014	1,299.58	4.45 %
Mar 2014	1,336.08	2.81 %
Apr 2014	1,298.45	-2.82 %
May 2014	1,288.74	-0.75 %
Jun 2014	1,279.10	-0.75 %
Jul 2014	1,310.59	2.46 %
Aug 2014	1,295.13	-1.18 %
Sep 2014	1,236.55	-4.52 %
Oct 2014	1,222.49	-1.14 %
Nov 2014	1,175.33	-3.86 %
Dec 2014	1,200.62	2.15 %
Jan 2015	1,250.75	4.18 %
Feb 2015	1,227.08	-1.89 %
Mar 2015	1,178.63	-3.95 %
Apr 2015	1,198.93	1.72 %
May 2015	1,198.63	-0.03 %
Jun 2015	1,181.50	-1.43 %
Jul 2015	1,128.31	-4.50 %
Aug 2015	1,117.93	-0.92 %
Sep 2015	1,124.77	0.61 %
Oct 2015	1,159.25	3.07 %
Nov 2015	1,086.44	-6.28 %
Dec 2015	1,075.74	-0.98 %
Jan 2016	1,097.91	2.06 %
Feb 2016	1,199.50	9.25 %
Mar 2016	1,245.14	3.80 %
Apr 2016	1,242.26	-0.23 %
May 2016	1,260.95	1.50 %
Jun 2016	1,276.40	1.23 %
Jul 2016	1,336.66	4.72 %
Aug 2016	1,340.17	0.26 %
Sep 2016	1,326.61	-1.01 %
Oct 2016	1,266.55	-4.53 %
Nov 2016	1,238.35	-2.23 %
Dec 2016	1,157.36	-6.54 %
Jan 2017	1,192.10	3.00 %
Feb 2017	1,234.20	3.53 %
Mar 2017	1,231.42	-0.23 %
Apr 2017	1,266.88	2.88 %
May 2017	1,246.04	-1.64 %
Jun 2017	1,260.26	1.14 %
Jul 2017	1,236.84	-1.86 %
Aug 2017	1,283.04	3.74 %
Sep 2017	1,314.07	2.42 %
Oct 2017	1,279.51	-2.63 %
Nov 2017	1,281.90	0.19 %
Dec 2017	1,264.45	-1.36 %
Jan 2018	1,331.30	5.29 %
Feb 2018	1,330.73	-0.04 %
Mar 2018	1,324.66	-0.46 %
Apr 2018	1,334.76	0.76 %
May 2018	1,303.45	-2.35 %
Jun 2018	1,281.57	-1.68 %
Jul 2018	1,237.71	-3.42 %
Aug 2018	1,201.71	-2.91 %
Sep 2018	1,198.39	-0.28 %
Oct 2018	1,215.39	1.42 %
Nov 2018	1,220.65	0.43 %
Dec 2018	1,250.40	2.44 %
Jan 2019	1,291.75	3.31 %
Feb 2019	1,320.07	2.19 %
Mar 2019	1,300.90	-1.45 %
Apr 2019	1,285.91	-1.15 %
May 2019	1,283.70	-0.17 %
Jun 2019	1,359.04	5.87 %
Jul 2019	1,412.89	3.96 %
Aug 2019	1,500.41	6.19 %
Sep 2019	1,510.58	0.68 %
Oct 2019	1,494.81	-1.04 %
Nov 2019	1,470.79	-1.61 %
Dec 2019	1,479.13	0.57 %
Jan 2020	1,560.67	5.51 %
Feb 2020	1,597.10	2.33 %
Mar 2020	1,591.93	-0.32 %
Apr 2020	1,683.17	5.73 %
May 2020	1,715.91	1.95 %
Jun 2020	1,732.22	0.95 %
Jul 2020	1,846.51	6.60 %
